Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:18 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:19 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:19 PM', MESSAGE='Error converting data type varchar to float.']
CustCustom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:55 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:55 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:55 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:55 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:56 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:56 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:18:56 PM', MESSAGE='Error converting data type varchar to float.']
